userName,content,score,at
Pengguna Google,Untuk transaksi memarik bisa diberikan diskon,3,2025-05-20 23:09:33
Pengguna Google,Terimkasih ya..😀🙏,5,2025-05-20 22:58:57
Pengguna Google,pelayanannya gak ramah ni bank,1,2025-05-20 22:57:04
Pengguna Google,"aplikasi eror. verifikasi wajah dh puluhan kali ngedipin mata tetep GX ke detek. padahal cahaya dh cukup terang, GX jelas emnk.",1,2025-05-20 22:15:16
Pengguna Google,mudah dan cepat,5,2025-05-20 22:04:58
Pengguna Google,💘💘,5,2025-05-20 21:57:34
Pengguna Google,gangguan,5,2025-05-20 21:41:57
Pengguna Google,is the best,5,2025-05-20 21:36:16
Pengguna Google,"applikasi kebanyakan kendala,membuang waktu,sangat disayangkan sering terjadi kendala saat situasi genting",3,2025-05-20 21:23:09
Pengguna Google,tranfer lebih mudah dan menyenangkan,5,2025-05-20 21:18:44
Pengguna Google,sangat membantu,5,2025-05-20 21:11:10
Pengguna Google,"ok mantap Notifikasi Wondr sama dengan SMS Banking,,, sudah sama 👍",5,2025-05-20 21:08:31
Pengguna Google,kenapa sudah tanggal 20 belum masuk juga cetak tagihan credit cardnya?,4,2025-05-20 20:54:04
Pengguna Google,sangat membantu,5,2025-05-20 20:48:14
Pengguna Google,"puas banget, karena saaangat membantu dan pastinya gesit",5,2025-05-20 20:38:10
Pengguna Google,mudah dan cepat,5,2025-05-20 20:25:05
Pengguna Google,bagus sangat membantu,5,2025-05-20 20:13:21
Pengguna Google,baik puas,5,2025-05-20 20:06:43
Pengguna Google,ok,5,2025-05-20 20:04:54
Pengguna Google,transaksi bisa sangat lebih mudah dan cepat,5,2025-05-20 19:55:28
Pengguna Google,ckup membantu,3,2025-05-20 19:53:47
Pengguna Google,"sangat memuaskan aplikasinya ,semoga kedepannya tambah lancar dan ramai",5,2025-05-20 19:41:59
Pengguna Google,baik,4,2025-05-20 19:17:01
Pengguna Google,BNI KONTOOOOOOOOLLLLL,1,2025-05-20 19:03:08
Pengguna Google,bagus,4,2025-05-20 19:00:20
Pengguna Google,bagus,3,2025-05-20 18:55:26
Pengguna Google,best 👍,5,2025-05-20 18:49:44
Pengguna Google,sangat membantu.,5,2025-05-20 18:49:41
Pengguna Google,proses cepat,5,2025-05-20 18:49:02
Pengguna Google,baik,5,2025-05-20 18:48:41
Pengguna Google,BNI Terbaik,5,2025-05-20 18:44:12
Pengguna Google,"kenapa sekarang wonder BNI susah di akses,, selalu gagal dgn alasan tidak punya akses padahal saya ada buku rekening sama ATM nya",2,2025-05-20 18:33:05
Pengguna Google,mantap,5,2025-05-20 18:18:07
Pengguna Google,sangat bagus dan membantu,5,2025-05-20 18:16:25
Pengguna Google,memudahkan transaksi...thx so top,5,2025-05-20 18:13:23
Pengguna Google,Bagus,5,2025-05-20 17:56:27
Pengguna Google,bagus sekali,5,2025-05-20 17:47:30
Pengguna Google,cepat,5,2025-05-20 17:34:09
Pengguna Google,sangat puas,5,2025-05-20 17:30:57
Pengguna Google,👍👍👍👍,5,2025-05-20 17:20:40
Pengguna Google,mantep. sangat berguna bagi yang ga mau ngantri fi bank,5,2025-05-20 17:08:28
Pengguna Google,ok lah,4,2025-05-20 17:01:24
Pengguna Google,👍👍👍👍,5,2025-05-20 16:53:45
Pengguna Google,good,5,2025-05-20 16:45:01
Pengguna Google,luarbiasa Mntp,5,2025-05-20 16:36:42
Pengguna Google,sangat mudah,5,2025-05-20 16:36:26
Pengguna Google,kenapa yaa Kadangan ngk bisa tf ke DANA suka gagal gitu,4,2025-05-20 16:20:59
Pengguna Google,bagus,4,2025-05-20 16:09:51
Pengguna Google,ok bngt,5,2025-05-20 15:51:53
Pengguna Google,Bagus...,5,2025-05-20 15:51:34
Pengguna Google,mantaaaap,5,2025-05-20 15:45:08
Pengguna Google,lancar tidak ribet.,5,2025-05-20 15:27:44
Pengguna Google,Good,5,2025-05-20 15:24:39
Pengguna Google,"wah kacau banget tiba"" harus login lagi dan harus masukin nomor kartu sedangkan kartu saja sudah 3 bulan tidak dikirim. padahal lagi urgent mau bayar gimana coba uang saya hampir semua saya simpan di wondr.",1,2025-05-20 15:24:13
Pengguna Google,aplikasi sangat ramah pengguna,5,2025-05-20 15:17:06
Pengguna Google,mantab,5,2025-05-20 15:08:21
Pengguna Google,aplikasi sangat lemot,1,2025-05-20 14:40:12
Pengguna Google,tingkatkan lagi,5,2025-05-20 14:29:20
Pengguna Google,mantap,5,2025-05-20 14:06:06
Pengguna Google,baik,3,2025-05-20 13:56:52
Pengguna Google,lancar jaya,4,2025-05-20 13:53:44
Pengguna Google,lebih mudah bertransaksi,5,2025-05-20 13:34:48
Pengguna Google,"sangat bagus aplikasi nya ,GK ada kendala sama sekali",5,2025-05-20 13:25:57
Pengguna Google,bagus,5,2025-05-20 13:05:34
Pengguna Google,sekarang buka nya klo bukan pakai wifi lelet..,4,2025-05-20 13:00:00
Pengguna Google,cepat dan lancar,5,2025-05-20 12:49:58
Pengguna Google,bagus,5,2025-05-20 12:41:36
Pengguna Google,sangat puas ada nya word by BNI,5,2025-05-20 12:32:07
Pengguna Google,"sering bug apk, error, gangguandan sering pemeliharaan,, transaksigagak tapi saldo berkurang, perlu banyak perbaikan nih apk, gakjelas. nyesaludah pakai apk ini",1,2025-05-20 12:22:34
Pengguna Google,sangat membantu,4,2025-05-20 12:17:12
Pengguna Google,mantap,5,2025-05-20 11:56:33
Pengguna Google,ok,5,2025-05-20 11:52:58
Pengguna Google,Mantap,5,2025-05-20 11:44:03
Pengguna Google,punyaku kok gk bisa masuk ya? apakah sekarang ada kendala dengan apk ini?,4,2025-05-20 11:35:19
Pengguna Google,sangat membantu,5,2025-05-20 11:21:56
Pengguna Google,bagus dan mudah.,5,2025-05-20 10:52:23
Pengguna Google,bagus,5,2025-05-20 10:40:46
Pengguna Google,bagus sekali,5,2025-05-20 10:39:22
Pengguna Google,bagus,5,2025-05-20 10:38:09
Pengguna Google,baik,5,2025-05-20 10:36:17
Pengguna Google,"mantap, cepat, akurat",5,2025-05-20 10:35:00
Pengguna Google,bgs skali,5,2025-05-20 10:34:46
Pengguna Google,bagussss,5,2025-05-20 10:29:41
Pengguna Google,keren,5,2025-05-20 10:28:50
Pengguna Google,kenapa wonder saya dari pagi tidak bisa dibuka ada keterangan dalam perbaikan..tolong dipercepat perbaikannya sudah 4 jam,4,2025-05-20 10:27:26
Pengguna Google,bagus banget fitur top lengkap,5,2025-05-20 10:19:31
Pengguna Google,bagus,5,2025-05-20 10:11:55
Pengguna Google,"aplikasinya bagus, tapi sayang stak di tampilan depan ga bisa masuk ke menu login, apakah karna update UI 7 android 15, hingga aplikasi tidak bisa di buka?",4,2025-05-20 10:11:23
Pengguna Google,puas,5,2025-05-20 09:59:02
Pengguna Google,sangat bagus,5,2025-05-20 09:54:59
Pengguna Google,oke,5,2025-05-20 09:47:35
Pengguna Google,sangat membantu,5,2025-05-20 09:06:32
Pengguna Google,bagus sangat membantu banget,5,2025-05-20 09:04:51
Pengguna Google,transaksinya cepat dan aman.,5,2025-05-20 09:02:41
Pengguna Google,"Tolonglah berinovasi yang lebih bagus,sekarang BNI kalah jauh dengan Mandiri yang sudah berinovasi dan sekarangpun Mandiri sudah ada rekening tabungan yang tanpa buku dan biaya adminnya pun jauh lebih murah. Sekarang biaya admin paling mahal ya BNI. Sampai kapan kalian BNI mau terus menerus ngambil uang nasabah dengan mengenakan tarif admin yang begitu mahal dan ga masuk akal!!! Disarankan cs pakai taplus muda tapi terbatas persyaratan umur,ayolah memberikan masukan itu yg masuk akal donk ya!",1,2025-05-20 08:57:12
Pengguna Google,BNI Best Bank,5,2025-05-20 08:29:58
Pengguna Google,pelayan mobile banking memuaskan.,5,2025-05-20 08:28:14
Pengguna Google,"Sangat membantu,,trims BNI",5,2025-05-20 08:02:05
Pengguna Google,👍💯,5,2025-05-20 08:01:07
Pengguna Google,mantap bni,5,2025-05-20 07:58:32
Pengguna Google,"Transfer ke dana Kok gabisa ya, katanya ""Tim kami lagi perbaiki, kamu bisa coba lagi nanti"" Tapi sudah Setidaknya 2 hari masih gabisa",3,2025-05-20 07:32:03
Pengguna Google,ok,5,2025-05-20 07:26:41
Pengguna Google,transaksi lebih cpat dan gampang,5,2025-05-20 07:25:24
Pengguna Google,mantap,5,2025-05-20 07:21:30
Pengguna Google,mudah cepat tidak ribet,5,2025-05-20 07:16:02
Pengguna Google,aplikasi jadi semakin slow respon tiap kali mau dibuka.,1,2025-05-20 07:14:01
Pengguna Google,"sering eror, pas narik uang saldo ke potong tapi uang nya nda keluar, buat kalain adek"" atau siapapun jangan dah pake BNI asli bikin repot",1,2025-05-20 06:59:51
Pengguna Google,sangat baik,5,2025-05-20 06:40:03
Pengguna Google,sangat memudahkan untuk bertransaksi🫠,5,2025-05-20 06:37:00
Pengguna Google,kereen..,4,2025-05-20 06:26:37
Pengguna Google,sempurna,4,2025-05-20 06:10:35
Pengguna Google,sangat membantu,4,2025-05-20 05:58:56
Pengguna Google,sangat baguss,5,2025-05-20 05:49:59
Pengguna Google,bagus cpt recomend,5,2025-05-20 05:38:28
Pengguna Google,top up ke tapcash 1 jam blm masuk saldo pdhl status berhasil.,3,2025-05-20 05:32:39
Pengguna Google,"suka bgt, mksih wondr jdi lbih mudah wat tf kmna pun,dmnapun😚",5,2025-05-20 05:23:35
Pengguna Google,good job,5,2025-05-20 04:58:26
Pengguna Google,cepat bagud,5,2025-05-20 04:19:30
Pengguna Google,mantap,5,2025-05-20 03:14:37
Pengguna Google,mantap,5,2025-05-20 03:09:46
Pengguna Google,mantap pokonya lebih cepat dan mudah,5,2025-05-20 02:52:06
Pengguna Google,semoga berkah & lancar tuk pengajuan kartu credit..aamiin,5,2025-05-20 02:01:22
Pengguna Google,gak jelas BNI saldo bayak pas trf saldo gak cukup mantinace terus kau,1,2025-05-20 00:08:32
Pengguna Google,"cepat, akurat dan efisien👍,",5,2025-05-19 23:22:11
Pengguna Google,sangat puas,5,2025-05-19 23:02:23
Pengguna Google,sangat mudah dan membantu,5,2025-05-19 22:42:25
Pengguna Google,sangat baguss,5,2025-05-19 22:39:10
Pengguna Google,smua transaksi jd lbh praktis,5,2025-05-19 22:36:39
Pengguna Google,sangat membantu,5,2025-05-19 22:20:51
Pengguna Google,cepat,1,2025-05-19 22:14:17
Pengguna Google,mantap,5,2025-05-19 22:04:43
Pengguna Google,eror,3,2025-05-19 22:02:23
Pengguna Google,kurangnya tidak ada fitur stor tunai,3,2025-05-19 21:49:54
Pengguna Google,lebih cepat,5,2025-05-19 21:48:04
Pengguna Google,mantap,5,2025-05-19 21:37:43
Pengguna Google,jos,5,2025-05-19 21:00:33
Pengguna Google,sangat membantu,5,2025-05-19 20:59:50
Pengguna Google,gege,5,2025-05-19 20:53:46
Pengguna Google,"ini kenapa kok tiba tiba akun saya keluar sendiri min. terakhir transaksi tanggal 12 mei kmren. pas mau buka lagi bukanya di suruh login malah di arahkan untuk daftar lagi. menu untuk login atau lupa pasword pun juga tidak ada di dashboard utama, malah yang ada menu LANJUT dan MENU PENDAMPING. apakah rekening saya di blokir PPATK. kalaupun di blokir pasti ada notif di menu dashboard dong min. udah di hapus dan instal ulang sama aja. tolong di kondisikan rekening saya min.",1,2025-05-19 20:49:26
Pengguna Google,keren..semua lebih jelas n mudah,5,2025-05-19 20:42:18
Pengguna Google,lanjut,4,2025-05-19 20:28:21
Pengguna Google,"hrusnya jdi 1 aja, disini gk bs save rekening. mdh2an kedepannya lebih praktis lagi.",5,2025-05-19 20:24:36
Pengguna Google,verivikasi wajah ga bisa teroooooosssss.... cacad,1,2025-05-19 20:22:44
Pengguna Google,mantap,5,2025-05-19 20:03:27
Pengguna Google,setiap Hari Gangguan Trusss LELET,1,2025-05-19 20:00:00
Pengguna Google,sangat membantu sekali,5,2025-05-19 19:59:58
Pengguna Google,baik,5,2025-05-19 19:57:16
Pengguna Google,bagus banget,5,2025-05-19 19:24:47
Pengguna Google,good,5,2025-05-19 19:19:17
Pengguna Google,good,5,2025-05-19 19:11:05
Pengguna Google,mantap,5,2025-05-19 19:02:23
Pengguna Google,ok,5,2025-05-19 18:58:03
Pengguna Google,"terus penggunaan harus pakai data? kalo yang sehari2 pakai wifi gimana? aneh banget, pake wifi kok ga bisa",2,2025-05-19 18:44:55
Pengguna Google,👍,5,2025-05-19 18:30:36
Pengguna Google,mantap,5,2025-05-19 18:25:34
Pengguna Google,kok skrg buka aplikasi susah bener yak padahal sinyal bagus,1,2025-05-19 18:23:16
Pengguna Google,baik,5,2025-05-19 18:11:53
Pengguna Google,sering lelet dibuka aplikasinya,1,2025-05-19 18:01:47
Pengguna Google,Terbaik,5,2025-05-19 17:52:51
Pengguna Google,NICE,5,2025-05-19 17:47:18
Pengguna Google,"saya mau komplain kenapa sekarang klok pakek data GK bisa mutar² ,klok pakek wifi baru bisa tolong dong di bantu",3,2025-05-19 17:46:06
Pengguna Google,bagus,5,2025-05-19 17:34:16
Pengguna Google,sangat 👌👍👍👍,5,2025-05-19 17:24:46
Pengguna Google,sangat menyenangkan,5,2025-05-19 17:16:35
Pengguna Google,mantuo kokok,5,2025-05-19 17:15:58
Pengguna Google,"saya sudah registrasi, infomasinya perlu verifikasi tambahan. disuruh telepon BNI call / cabang terdekat. setelah telepon BNI call data sudah sesuai terus disuruh ke BNI terdekat. setelah ke BNI terdekat, informasinya data sudah sesuai infomasi harus terus coba berkali2. dan sampai saat ini, notifnya masih sama ""Kamu belum bisa registrasi wondr. kami perlu verifikasi tambahan"". jadi saya harus gmana??",3,2025-05-19 17:11:31
Pengguna Google,bagus,5,2025-05-19 17:00:22
Pengguna Google,bagus dan sangat membantu,5,2025-05-19 16:42:26
Pengguna Google,😇,4,2025-05-19 16:39:08
Pengguna Google,ok,5,2025-05-19 16:32:42
Pengguna Google,cepat dan praktis,5,2025-05-19 16:23:50
Pengguna Google,mantab sangat membantu,5,2025-05-19 16:17:25
Pengguna Google,3 dulu...untuk bayar virtual acaunt slalu gagal...padahal pake data iya..pake wifi iya...slalu gagal,3,2025-05-19 16:07:23
Pengguna Google,👌👌👌👍👍👍,5,2025-05-19 15:59:33
Pengguna Google,masih belum familiar,4,2025-05-19 15:54:31
Pengguna Google,sangat bagus,5,2025-05-19 15:54:10
Pengguna Google,semua jadi mudah,5,2025-05-19 15:22:18
Pengguna Google,mantappppp josssss,5,2025-05-19 14:58:48
Pengguna Google,bagus n tampilannya menarik,5,2025-05-19 14:52:13
Pengguna Google,"sejauh ini pemakaian nya baik, ga lemot.",5,2025-05-19 14:50:49
Pengguna Google,sangat memuaskan,5,2025-05-19 14:43:23
Pengguna Google,good,5,2025-05-19 14:41:57
Pengguna Google,sangat baik dan mudah digunakan 👍👍👍👍👍,4,2025-05-19 14:19:17
Pengguna Google,ok,5,2025-05-19 14:15:16
Pengguna Google,love you bni46 bank tertua .semoga mankin jaya selalu amin ya ALLAh,4,2025-05-19 14:14:44
Pengguna Google,"kok ga ada pilihan sih buat masuk aplikasi setelah sempat diuninstal karna hp error....solusinya gimana,masak harus ke kantor bni sih",2,2025-05-19 13:54:18
Pengguna Google,gak bagus. enakan pake bni mobile. pake wonder topup ewalet kecil sekali limitnya,1,2025-05-19 13:24:41
Pengguna Google,beroperasi dengan baik,5,2025-05-19 13:22:38
Pengguna Google,segala y mudah dengan apl ini.trimakasih,5,2025-05-19 13:15:54
Pengguna Google,baik,4,2025-05-19 12:57:36
Pengguna Google,cepat tepat mantap keren amanah pelayanan nya Rama tamah,5,2025-05-19 12:43:45
Pengguna Google,mantap,5,2025-05-19 12:41:29
Pengguna Google,oke,5,2025-05-19 12:36:40
Pengguna Google,Lupa password login wonder ngurusnya ribet ..,1,2025-05-19 12:30:58
Pengguna Google,"ini knp gk busa log in, terjadi kesalahan terus",2,2025-05-19 12:26:00
Pengguna Google,mantap,5,2025-05-19 12:09:55
Pengguna Google,ok,5,2025-05-19 12:02:53
Pengguna Google,fitur terbaru lebih bagus dan antar muka lebih mudah dari sebelumnya,5,2025-05-19 11:55:40
Pengguna Google,cepat prosesnya,5,2025-05-19 11:15:14
Pengguna Google,Sangat memuaskan,5,2025-05-19 11:11:55
Pengguna Google,baik,5,2025-05-19 11:08:39
Pengguna Google,sumpah jelek buat emosi mau tf ke bank atau walet gagal trs di awal aja enak sekarang parah kaya ga rela uang yg ada mau di tf,1,2025-05-19 10:54:57
Pengguna Google,utk saat ini puas..namun belum bisa setor tunai via apk,5,2025-05-19 10:49:43
Pengguna Google,Lumayan Oke,5,2025-05-19 10:43:15
Pengguna Google,MANTAP,1,2025-05-19 10:35:06
Pengguna Google,sangat membantu,5,2025-05-19 10:30:37
Pengguna Google,sangat membatu,5,2025-05-19 10:18:51
Pengguna Google,Keren banget . tapi kalau bisa tambahkan fitur simulasi deposito,5,2025-05-19 10:15:31
Pengguna Google,"mau login aja ngulang terus dari foto KTP sama foto wajah ribet banget, tolong benerin system nya, padahal harusnya untuk 1 HP cuma masukin password dan pin, ini malah ngulang dari KTP lagi ribet aplikasi rusak",1,2025-05-19 09:51:43
Pengguna Google,bagusss...,5,2025-05-19 09:50:24
Pengguna Google,excelent,5,2025-05-19 09:43:22
Pengguna Google,Sangat Baik,5,2025-05-19 09:36:12
Pengguna Google,oke,5,2025-05-19 09:34:32
Pengguna Google,bagus,5,2025-05-19 09:33:39
Pengguna Google,tobgt,5,2025-05-19 09:16:01
Pengguna Google,Oke,5,2025-05-19 09:01:21
Pengguna Google,alhamdulillah mantap👍,5,2025-05-19 08:55:44
Pengguna Google,masih serin error payah,3,2025-05-19 08:41:32
Pengguna Google,bagus,5,2025-05-19 08:36:55
Pengguna Google,sangat membantu trimah ksih,5,2025-05-19 08:32:31
Pengguna Google,ok,4,2025-05-19 08:22:37
Pengguna Google,"Aplikasi ribet, menyusahkan, akun tidak bisa terhubung dengan rekening sendiri, komplain lewat cs disuruh ke bank, nauh jauh datang ke kantor cabang bank cuma dilayani satpam dan tetap saja akun wondr ga bisa terhubung dengan rekening Mau bikin inovasi malah menyusahkan Di balas oleh admin yang sama saja seperti bot, jawaban template, disuruh hubungi cs, cs juga sama saja, di hubungi di beri jawaban template, bukan solusi",1,2025-05-19 08:19:40
Pengguna Google,ok banget,5,2025-05-19 08:10:48
Pengguna Google,Memuaskan,5,2025-05-19 07:58:10
Pengguna Google,ok,1,2025-05-19 07:35:24
Pengguna Google,mantappppp penggun setia wonder😉,5,2025-05-19 07:29:08
Pengguna Google,mudah praktis,5,2025-05-19 07:23:43
Pengguna Google,bagus juga aplikasinya..,5,2025-05-19 06:53:15
Pengguna Google,"Benerin dulu top-up tap cash nya baru nanti saya tambahin bintang nya. top-up tap cash gagal mulu kalo pagi, pernah gagal 2x saldo gak balik.. gimana coba!",1,2025-05-19 06:29:49
Pengguna Google,geloo,5,2025-05-19 06:14:54
Pengguna Google,Minta tolong nanti ditambahkan juga menu untuk setor tunai tanpa kartu,5,2025-05-19 05:25:50
Pengguna Google,cucok untuk transaksi,5,2025-05-19 04:22:58
Pengguna Google,terimaksih lebih mudah teransaksi kapan saja dan d mana saja,5,2025-05-19 03:42:44
Pengguna Google,Nah ini baru ga ribet sangat mudah untuk login,5,2025-05-19 03:06:14
Pengguna Google,good job,5,2025-05-19 02:02:29
Pengguna Google,ok,5,2025-05-19 01:40:15
Pengguna Google,bagus,5,2025-05-19 01:29:52
Pengguna Google,lumayan membantu transaksi,5,2025-05-19 00:50:20
Pengguna Google,kalo malam sering Trobel tolong di perbaiki lagi ya makasih,2,2025-05-19 00:18:49
Pengguna Google,wondr gak jelas kebanyakan gangguan,1,2025-05-19 00:12:50
Pengguna Google,good,5,2025-05-18 23:48:44
Pengguna Google,tolong d bantu sya tidak bisa login dan selalu gagal verivikasi wajah,5,2025-05-18 23:24:27
Pengguna Google,"tak bisa di buka, mohon infonya",1,2025-05-18 23:09:02
Pengguna Google,bagus,5,2025-05-18 22:43:44
Pengguna Google,topppp,5,2025-05-18 22:17:01
Pengguna Google,"Wondr saya suka, selalu bisa di andalin...",5,2025-05-18 22:16:50
Pengguna Google,"mantap sekali,kalau bisa pengamanan BNI nya harus lebih kuat lagi",5,2025-05-18 22:04:33
Pengguna Google,smile😊,5,2025-05-18 21:49:25
Pengguna Google,sangat membantu👍,5,2025-05-18 21:19:42
Pengguna Google,mantappp,5,2025-05-18 21:13:47
Pengguna Google,tidak mengecewakan puas,5,2025-05-18 20:56:23
Pengguna Google,"aplikasi lemot pakek wifi dan pakek paket data juga masih lemot kadang bisa di bukak kadang tidak bisa di buka, jadi kalau mau transfer susah masih harus lewat mesin ATM, apa gunanya kalau pakek wonder untuk transaksi masih susah, tolong di tingkat.kan lagi aplikasi.nya",2,2025-05-18 20:36:57
Pengguna Google,ok,5,2025-05-18 20:17:41
Pengguna Google,bagus,5,2025-05-18 20:17:36
Pengguna Google,mantap,5,2025-05-18 20:05:36
Pengguna Google,mudah dan cepat,5,2025-05-18 20:00:00
Pengguna Google,lebih mudah transaksi lewat wondr by BNI,5,2025-05-18 19:50:58
Pengguna Google,bagus,5,2025-05-18 19:41:12
Pengguna Google,lebih baik dari aplikasi swbelumnya,5,2025-05-18 18:48:13
Pengguna Google,bagus,4,2025-05-18 18:47:40
Pengguna Google,"Lemot banget mau bayar2 jadi lama, mau buka app m bankingnya aja lama. aduh smoga bisa lebih baik ya.",2,2025-05-18 18:44:34
Pengguna Google,mantap,5,2025-05-18 18:32:28
Pengguna Google,sangat membantu terima kasih,5,2025-05-18 18:17:24
Pengguna Google,baik,5,2025-05-18 18:06:51
Pengguna Google,sangat baik,5,2025-05-18 17:53:41
Pengguna Google,masih belum bisa cek sisa tagihan bni fleksi lewat aplikasi ini.,2,2025-05-18 17:52:19
Pengguna Google,gangguan terus,1,2025-05-18 17:39:47
Pengguna Google,good,5,2025-05-18 17:33:36
Pengguna Google,Cepat aman dan terpercaya,5,2025-05-18 17:25:41
Pengguna Google,gabisa dibuka,1,2025-05-18 17:19:32
Pengguna Google,bagus bgt,5,2025-05-18 17:19:30
Pengguna Google,bagus gak ribet,5,2025-05-18 17:11:35
Pengguna Google,sangat membantu saya dalam bertransaksi jarak jauh secara online,5,2025-05-18 16:40:45
Pengguna Google,mantab puuuol,5,2025-05-18 16:27:37
Pengguna Google,mantap terimakasih,5,2025-05-18 16:17:03
Pengguna Google,"make aplikasi ini gabisa buka aplikasi, selalu saja setiap di buka selalu yang di tampilkan hanya logo, tidak masuk ke menu awal, kenapa? apa ada masalah pada aplikasi ini? ini bukan sekali/dua kali ini terjadi, ini sudah sering. kenapa pihak wonder tidak melakukan update mengenai sistem yang eror seperti ini, saya mau transfer dana jadi di persulit karna tidak bisa masuk aplikasi ini. note: (hanya muncul logo!)",1,2025-05-18 16:14:25
Pengguna Google,"mudah mudahan ngirim notifikasi tidak menggunakan SMS lagi, Upgrade ke Whatsapp.",3,2025-05-18 16:10:22
Pengguna Google,mantap lahh..,5,2025-05-18 15:59:38
Pengguna Google,recommended,5,2025-05-18 15:48:33
Pengguna Google,MENU LOGIN DMNA ? PUNYA REKENING KOK DIMINTA DAFTA BUKA REKENING,1,2025-05-18 15:44:50
Pengguna Google,ok,5,2025-05-18 15:40:31
Pengguna Google,cukup bagus dg transaksi menggunakan PIN..,5,2025-05-18 15:24:34
Pengguna Google,ok,5,2025-05-18 15:15:26
Pengguna Google,Transaksi mudah,5,2025-05-18 15:13:35
Pengguna Google,apk macam apa ini aku udah top up 50k giliran mau di pake malah ga bisa parah sih apk ini,1,2025-05-18 15:13:16
Pengguna Google,sampai 3 kali telp tidak dikirim2 CC baru. sejak 14 april 2025 blm diterima,1,2025-05-18 14:54:49
Pengguna Google,baik,5,2025-05-18 14:48:28
Pengguna Google,mantep,5,2025-05-18 14:47:35
Pengguna Google,sangat baik,5,2025-05-18 14:33:32
Pengguna Google,limit ewalletnya kecil banget,3,2025-05-18 14:20:36
Pengguna Google,baguss,5,2025-05-18 14:10:01
Pengguna Google,"semoga gak ada perubahan, tapi perubahan itu penting!.",5,2025-05-18 14:07:40
Pengguna Google,ok,5,2025-05-18 13:53:09
Pengguna Google,"kok aplikasi aq wonder na G bisa di buka, klo pake wifi baru bisa di buka, sangat menyulitkan sekali",3,2025-05-18 13:44:39
Pengguna Google,"Masih perlu tambahan bbrp menu, blm bisa cardless setor tunai, blm bisa terima transfer pake QRIS.. ayolah bumn jangan kalah sama swasta..",3,2025-05-18 13:34:50
Pengguna Google,puas dengan pelayanannya,5,2025-05-18 13:31:56
Pengguna Google,wonder,5,2025-05-18 13:15:58
Pengguna Google,"untuk sekarang masih oke,",5,2025-05-18 13:03:17
Pengguna Google,kenapa aplikasi wondr sama BNi ndak bisa dipakai transaksi ya. kesalahannya dimana? mohon perbaikan segera. terimakasih,5,2025-05-18 12:48:22
Pengguna Google,Bagus,4,2025-05-18 12:42:32
